zipcode,zone,trange,zonetitle,last_spring_frost,first_fall_frost,growing_season
00501,7b,5 to 10,7b: 5 to 10,Apr 16,Oct 28,194 days
00544,7b,5 to 10,7b: 5 to 10,Apr 16,Oct 28,194 days
01001,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01002,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01003,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01004,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01005,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01007,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01008,6a,-10 to -5,6a: -10 to -5,May 3,Oct 11,160 days
01009,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01010,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01011,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01012,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01013,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01014,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01020,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01021,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01022,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01026,5b,-15 to -10,5b: -15 to -10,May 18,Sep 28,132 days
01027,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01028,6b,-5 to 0,6b: -5 to 0,Apr 27,Oct 10,165 days
01029,5b,-15 to -10,5b: -15 to -10,May 3,Oct 11,160 days
01030,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01031,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01032,6a,-10 to -5,6a: -10 to -5,May 22,Sep 25,125 days
01033,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01034,6a,-10 to -5,6a: -10 to -5,May 3,Oct 11,160 days
01035,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01036,6a,-10 to -5,6a: -10 to -5,May 13,Oct 6,145 days
01037,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01038,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01039,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01040,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01041,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01050,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01053,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01054,6a,-10 to -5,6a: -10 to -5,May 7,Oct 4,149 days
01056,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01057,6a,-10 to -5,6a: -10 to -5,May 13,Oct 6,145 days
01059,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01060,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01061,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01062,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01066,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01068,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01069,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01070,5b,-15 to -10,5b: -15 to -10,May 22,Sep 25,125 days
01071,6a,-10 to -5,6a: -10 to -5,May 3,Oct 11,160 days
01072,5b,-15 to -10,5b: -15 to -10,May 7,Oct 4,149 days
01073,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01074,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01075,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01077,6b,-5 to 0,6b: -5 to 0,May 3,Oct 11,160 days
01079,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01080,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01081,6b,-5 to 0,6b: -5 to 0,May 13,Oct 6,145 days
01082,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01083,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01084,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01085,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01086,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01088,6a,-10 to -5,6a: -10 to -5,May 11,Oct 3,144 days
01089,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01090,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01092,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01093,6a,-10 to -5,6a: -10 to -5,May 7,Oct 4,149 days
01094,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01095,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01096,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01097,6a,-10 to -5,6a: -10 to -5,May 3,Oct 11,160 days
01098,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01101,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01102,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01103,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01104,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01105,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01106,6b,-5 to 0,6b: -5 to 0,Apr 27,Oct 10,165 days
01107,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01108,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01109,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01111,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01115,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01116,6b,-5 to 0,6b: -5 to 0,Apr 27,Oct 10,165 days
01118,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01119,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01128,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01129,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01138,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01139,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01144,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01151,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01152,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01199,6b,-5 to 0,6b: -5 to 0,May 9,Oct 3,146 days
01201,5b,-15 to -10,5b: -15 to -10,May 13,Oct 1,140 days
01202,5b,-15 to -10,5b: -15 to -10,May 13,Oct 1,140 days
01203,5b,-15 to -10,5b: -15 to -10,May 13,Oct 1,140 days
01220,5b,-15 to -10,5b: -15 to -10,May 17,Sep 30,135 days
01222,6a,-10 to -5,6a: -10 to -5,May 18,Sep 30,134 days
01223,6a,-10 to -5,6a: -10 to -5,May 13,Sep 29,138 days
01224,5b,-15 to -10,5b: -15 to -10,May 13,Oct 1,140 days
01225,5b,-15 to -10,5b: -15 to -10,May 17,Sep 30,135 days
01226,5b,-15 to -10,5b: -15 to -10,May 13,Oct 1,140 days
01227,5b,-15 to -10,5b: -15 to -10,May 13,Oct 1,140 days
01229,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01230,6a,-10 to -5,6a: -10 to -5,May 13,Sep 29,138 days
01235,5b,-15 to -10,5b: -15 to -10,May 18,Sep 28,132 days
01236,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01237,5b,-15 to -10,5b: -15 to -10,May 13,Oct 1,140 days
01238,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01240,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01242,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01243,6a,-10 to -5,6a: -10 to -5,May 18,Sep 28,132 days
01244,5b,-15 to -10,5b: -15 to -10,May 9,Oct 6,149 days
01245,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01247,5b,-15 to -10,5b: -15 to -10,May 17,Sep 30,135 days
01252,6a,-10 to -5,6a: -10 to -5,May 10,Oct 6,148 days
01253,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01254,5b,-15 to -10,5b: -15 to -10,May 13,Oct 1,140 days
01255,6a,-10 to -5,6a: -10 to -5,May 9,Oct 6,149 days
01256,5b,-15 to -10,5b: -15 to -10,May 22,Sep 25,125 days
01257,6a,-10 to -5,6a: -10 to -5,May 18,Sep 30,134 days
01258,6a,-10 to -5,6a: -10 to -5,May 10,Oct 6,148 days
01259,6a,-10 to -5,6a: -10 to -5,May 9,Oct 6,149 days
01260,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01262,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01263,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01264,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01266,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01267,5b,-15 to -10,5b: -15 to -10,May 17,Sep 30,135 days
01270,5b,-15 to -10,5b: -15 to -10,May 13,Sep 29,138 days
01301,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01302,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01330,5b,-15 to -10,5b: -15 to -10,May 22,Sep 25,125 days
01331,5b,-15 to -10,5b: -15 to -10,Apr 30,Oct 11,163 days
01337,5b,-15 to -10,5b: -15 to -10,May 6,Oct 5,151 days
01338,5b,-15 to -10,5b: -15 to -10,May 22,Sep 25,125 days
01339,5b,-15 to -10,5b: -15 to -10,May 22,Sep 25,125 days
01340,5b,-15 to -10,5b: -15 to -10,May 19,Sep 30,133 days
01341,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01342,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01343,5b,-15 to -10,5b: -15 to -10,May 22,Sep 25,125 days
01344,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01346,5b,-15 to -10,5b: -15 to -10,May 19,Sep 30,133 days
01347,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01349,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01350,5b,-15 to -10,5b: -15 to -10,May 19,Sep 30,133 days
01351,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01354,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01355,5b,-15 to -10,5b: -15 to -10,May 9,Oct 3,146 days
01360,5b,-15 to -10,5b: -15 to -10,May 6,Oct 5,151 days
01364,5b,-15 to -10,5b: -15 to -10,May 9,Oct 3,146 days
01366,6a,-10 to -5,6a: -10 to -5,May 9,Oct 3,146 days
01367,5b,-15 to -10,5b: -15 to -10,May 19,Sep 30,133 days
01368,5b,-15 to -10,5b: -15 to -10,Apr 30,Oct 11,163 days
01370,5b,-15 to -10,5b: -15 to -10,May 22,Sep 25,125 days
01373,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01375,6a,-10 to -5,6a: -10 to -5,May 7,Oct 4,149 days
01376,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01378,5b,-15 to -10,5b: -15 to -10,May 9,Oct 3,146 days
01379,5b,-15 to -10,5b: -15 to -10,May 9,Oct 3,146 days
01380,5b,-15 to -10,5b: -15 to -10,May 9,Oct 3,146 days
01420,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01430,6a,-10 to -5,6a: -10 to -5,May 11,Oct 1,142 days
01431,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01432,6a,-10 to -5,6a: -10 to -5,May 4,Oct 5,153 days
01434,6a,-10 to -5,6a: -10 to -5,May 4,Oct 5,153 days
01436,5b,-15 to -10,5b: -15 to -10,May 11,Sep 27,138 days
01438,5b,-15 to -10,5b: -15 to -10,May 11,Sep 27,138 days
01440,5b,-15 to -10,5b: -15 to -10,May 8,Oct 7,151 days
01441,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01450,6a,-10 to -5,6a: -10 to -5,May 3,Oct 4,153 days
01451,6a,-10 to -5,6a: -10 to -5,May 8,Oct 1,145 days
01452,5b,-15 to -10,5b: -15 to -10,May 19,Sep 27,130 days
01453,6a,-10 to -5,6a: -10 to -5,May 4,Oct 5,153 days
01460,6a,-10 to -5,6a: -10 to -5,May 8,Oct 1,145 days
01462,6a,-10 to -5,6a: -10 to -5,May 4,Oct 5,153 days
01463,6a,-10 to -5,6a: -10 to -5,May 3,Oct 4,153 days
01464,6a,-10 to -5,6a: -10 to -5,May 4,Oct 5,153 days
01467,6a,-10 to -5,6a: -10 to -5,May 4,Oct 5,153 days
01468,5b,-15 to -10,5b: -15 to -10,May 11,Sep 27,138 days
01469,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01470,6a,-10 to -5,6a: -10 to -5,n/a,n/a,n/a
01471,6a,-10 to -5,6a: -10 to -5,n/a,n/a,n/a
01472,6a,-10 to -5,6a: -10 to -5,May 4,Oct 5,153 days
01473,6a,-10 to -5,6a: -10 to -5,May 8,Oct 7,151 days
01474,6a,-10 to -5,6a: -10 to -5,May 6,Oct 5,151 days
01475,5b,-15 to -10,5b: -15 to -10,May 11,Sep 27,138 days
01501,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01503,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01504,6b,-5 to 0,6b: -5 to 0,Apr 28,Oct 12,166 days
01505,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01506,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01507,6b,-5 to 0,6b: -5 to 0,May 6,Oct 4,150 days
01508,6a,-10 to -5,6a: -10 to -5,May 6,Oct 4,150 days
01509,6b,-5 to 0,6b: -5 to 0,May 6,Oct 4,150 days
01510,6a,-10 to -5,6a: -10 to -5,May 4,Oct 5,153 days
01515,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01516,6b,-5 to 0,6b: -5 to 0,May 6,Oct 4,150 days
01518,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01519,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01520,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01521,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01522,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01523,6b,-5 to 0,6b: -5 to 0,May 4,Oct 5,153 days
01524,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01525,6b,-5 to 0,6b: -5 to 0,Apr 28,Oct 12,166 days
01526,6b,-5 to 0,6b: -5 to 0,May 6,Oct 4,150 days
01527,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01529,6b,-5 to 0,6b: -5 to 0,Apr 28,Oct 12,166 days
01531,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01532,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01534,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
01535,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01536,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01537,6a,-10 to -5,6a: -10 to -5,May 6,Oct 4,150 days
01538,6b,-5 to 0,6b: -5 to 0,Apr 28,Oct 12,166 days
01540,6b,-5 to 0,6b: -5 to 0,May 6,Oct 4,150 days
01541,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01542,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01543,6a,-10 to -5,6a: -10 to -5,May 19,Sep 27,130 days
01545,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01546,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01550,6b,-5 to 0,6b: -5 to 0,May 1,Oct 7,158 days
01560,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01561,6b,-5 to 0,6b: -5 to 0,May 4,Oct 5,153 days
01562,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01564,6a,-10 to -5,6a: -10 to -5,May 4,Oct 5,153 days
01566,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01568,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
01569,6b,-5 to 0,6b: -5 to 0,Apr 28,Oct 12,166 days
01570,6b,-5 to 0,6b: -5 to 0,May 6,Oct 4,150 days
01571,6b,-5 to 0,6b: -5 to 0,May 6,Oct 4,150 days
01581,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
01583,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01585,6a,-10 to -5,6a: -10 to -5,May 4,Oct 8,156 days
01586,6a,-10 to -5,6a: -10 to -5,Apr 28,Oct 12,166 days
01588,6b,-5 to 0,6b: -5 to 0,Apr 28,Oct 12,166 days
01590,6b,-5 to 0,6b: -5 to 0,May 6,Oct 4,150 days
01601,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01602,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01603,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01604,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01605,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01606,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01607,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01608,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01609,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01610,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01611,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01612,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01613,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01614,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01615,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01653,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 14,167 days
01655,6a,-10 to -5,6a: -10 to -5,Apr 29,Oct 14,167 days
01701,6b,-5 to 0,6b: -5 to 0,May 1,Oct 6,157 days
01702,6b,-5 to 0,6b: -5 to 0,May 1,Oct 6,157 days
01703,6b,-5 to 0,6b: -5 to 0,May 1,Oct 6,157 days
01704,6b,-5 to 0,6b: -5 to 0,May 1,Oct 6,157 days
01705,6b,-5 to 0,6b: -5 to 0,May 1,Oct 6,157 days
01719,6a,-10 to -5,6a: -10 to -5,May 8,Oct 1,145 days
01720,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01721,6b,-5 to 0,6b: -5 to 0,May 1,Oct 6,157 days
01730,6b,-5 to 0,6b: -5 to 0,May 1,Oct 7,158 days
01731,6b,-5 to 0,6b: -5 to 0,May 3,Oct 4,153 days
01740,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01741,6b,-5 to 0,6b: -5 to 0,May 1,Oct 7,158 days
01742,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01745,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01746,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
01747,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
01748,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
01749,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01752,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01754,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01756,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
01757,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
01760,6b,-5 to 0,6b: -5 to 0,May 1,Oct 6,157 days
01770,6b,-5 to 0,6b: -5 to 0,May 1,Oct 6,157 days
01772,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01773,6b,-5 to 0,6b: -5 to 0,May 3,Oct 4,153 days
01775,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01776,6b,-5 to 0,6b: -5 to 0,May 8,Oct 1,145 days
01778,6b,-5 to 0,6b: -5 to 0,May 1,Oct 6,157 days
01784,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
01801,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01803,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01805,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01810,6b,-5 to 0,6b: -5 to 0,Apr 19,Oct 22,185 days
01812,6b,-5 to 0,6b: -5 to 0,Apr 19,Oct 22,185 days
01813,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01815,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01821,6b,-5 to 0,6b: -5 to 0,May 1,Oct 7,158 days
01822,6b,-5 to 0,6b: -5 to 0,May 1,Oct 7,158 days
01824,6b,-5 to 0,6b: -5 to 0,May 3,Oct 5,154 days
01826,6a,-10 to -5,6a: -10 to -5,May 3,Oct 5,154 days
01827,6a,-10 to -5,6a: -10 to -5,May 3,Oct 4,153 days
01830,6a,-10 to -5,6a: -10 to -5,May 5,Oct 6,153 days
01831,6b,-5 to 0,6b: -5 to 0,May 5,Oct 6,153 days
01832,6a,-10 to -5,6a: -10 to -5,May 5,Oct 6,153 days
01833,6b,-5 to 0,6b: -5 to 0,May 8,Oct 4,148 days
01834,6a,-10 to -5,6a: -10 to -5,May 8,Oct 4,148 days
01835,6b,-5 to 0,6b: -5 to 0,May 5,Oct 6,153 days
01840,6b,-5 to 0,6b: -5 to 0,Apr 19,Oct 22,185 days
01841,6b,-5 to 0,6b: -5 to 0,Apr 19,Oct 22,185 days
01842,6b,-5 to 0,6b: -5 to 0,Apr 19,Oct 22,185 days
01843,6b,-5 to 0,6b: -5 to 0,Apr 19,Oct 22,185 days
01844,6b,-5 to 0,6b: -5 to 0,Apr 19,Oct 22,185 days
01845,6b,-5 to 0,6b: -5 to 0,Apr 25,Oct 14,171 days
01850,6b,-5 to 0,6b: -5 to 0,May 3,Oct 5,154 days
01851,6b,-5 to 0,6b: -5 to 0,May 3,Oct 5,154 days
01852,6b,-5 to 0,6b: -5 to 0,May 3,Oct 5,154 days
01853,6b,-5 to 0,6b: -5 to 0,May 3,Oct 5,154 days
01854,6b,-5 to 0,6b: -5 to 0,May 3,Oct 5,154 days
01860,6a,-10 to -5,6a: -10 to -5,May 5,Oct 6,153 days
01862,6b,-5 to 0,6b: -5 to 0,May 1,Oct 7,158 days
01863,6b,-5 to 0,6b: -5 to 0,May 3,Oct 5,154 days
01864,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01865,6b,-5 to 0,6b: -5 to 0,May 1,Oct 7,158 days
01866,6b,-5 to 0,6b: -5 to 0,May 1,Oct 7,158 days
01867,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01876,6b,-5 to 0,6b: -5 to 0,Apr 19,Oct 22,185 days
01879,6a,-10 to -5,6a: -10 to -5,May 3,Oct 5,154 days
01880,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01885,6b,-5 to 0,6b: -5 to 0,May 8,Oct 4,148 days
01886,6a,-10 to -5,6a: -10 to -5,May 3,Oct 5,154 days
01887,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01888,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01889,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01890,6b,-5 to 0,6b: -5 to 0,May 1,Oct 11,162 days
01899,6b,-5 to 0,6b: -5 to 0,Apr 19,Oct 22,185 days
01901,7a,0 to 5,7a: 0 to 5,May 1,Oct 14,165 days
01902,7a,0 to 5,7a: 0 to 5,May 1,Oct 14,165 days
01903,7a,0 to 5,7a: 0 to 5,May 1,Oct 14,165 days
01904,6b,-5 to 0,6b: -5 to 0,May 1,Oct 14,165 days
01905,7a,0 to 5,7a: 0 to 5,Apr 8,Nov 3,208 days
01906,6b,-5 to 0,6b: -5 to 0,Apr 8,Nov 3,208 days
01907,7a,0 to 5,7a: 0 to 5,May 1,Oct 14,165 days
01908,7a,0 to 5,7a: 0 to 5,May 1,Oct 14,165 days
01910,7a,0 to 5,7a: 0 to 5,May 1,Oct 14,165 days
01913,6a,-10 to -5,6a: -10 to -5,May 8,Oct 4,148 days
01915,6b,-5 to 0,6b: -5 to 0,May 9,Oct 7,150 days
01921,6b,-5 to 0,6b: -5 to 0,May 8,Oct 4,148 days
01922,6b,-5 to 0,6b: -5 to 0,May 8,Oct 4,148 days
01923,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 11,164 days
01929,6b,-5 to 0,6b: -5 to 0,May 9,Oct 7,150 days
01930,7a,0 to 5,7a: 0 to 5,May 9,Oct 7,150 days
01931,7a,0 to 5,7a: 0 to 5,May 9,Oct 7,150 days
01936,6b,-5 to 0,6b: -5 to 0,May 9,Oct 7,150 days
01937,6b,-5 to 0,6b: -5 to 0,May 9,Oct 4,147 days
01938,6b,-5 to 0,6b: -5 to 0,May 9,Oct 7,150 days
01940,6b,-5 to 0,6b: -5 to 0,May 9,Oct 4,147 days
01944,7a,0 to 5,7a: 0 to 5,May 9,Oct 7,150 days
01945,7a,0 to 5,7a: 0 to 5,May 1,Oct 14,165 days
01949,6b,-5 to 0,6b: -5 to 0,May 9,Oct 4,147 days
01950,6b,-5 to 0,6b: -5 to 0,May 8,Oct 4,148 days
01951,6b,-5 to 0,6b: -5 to 0,May 9,Oct 7,150 days
01952,6b,-5 to 0,6b: -5 to 0,May 10,Oct 4,146 days
01960,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 11,164 days
01961,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 11,164 days
01965,6b,-5 to 0,6b: -5 to 0,May 9,Oct 7,150 days
01966,7a,0 to 5,7a: 0 to 5,May 9,Oct 7,150 days
01969,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 11,164 days
01970,7a,0 to 5,7a: 0 to 5,May 1,Oct 14,165 days
01971,6b,-5 to 0,6b: -5 to 0,May 1,Oct 14,165 days
01982,6b,-5 to 0,6b: -5 to 0,May 9,Oct 7,150 days
01983,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 11,164 days
01984,6b,-5 to 0,6b: -5 to 0,Apr 29,Oct 11,164 days
01985,6b,-5 to 0,6b: -5 to 0,May 8,Oct 4,148 days
02018,6b,-5 to 0,6b: -5 to 0,Apr 30,Oct 15,167 days
02019,6b,-5 to 0,6b: -5 to 0,May 4,Oct 4,152 days
02021,6b,-5 to 0,6b: -5 to 0,May 2,Oct 4,154 days
02025,7a,0 to 5,7a: 0 to 5,Apr 30,Oct 15,167 days
02026,6b,-5 to 0,6b: -5 to 0,May 2,Oct 4,154 days
