zipcode,zone,trange,zonetitle,last_spring_frost,first_fall_frost,growing_season
28709,7a,0 to 5,7a: 0 to 5,Apr 11,Oct 25,196 days
28710,7b,5 to 10,7b: 5 to 10,Apr 17,Oct 22,187 days
28711,7a,0 to 5,7a: 0 to 5,Apr 27,Oct 16,171 days
28712,7b,5 to 10,7b: 5 to 10,Apr 27,Oct 18,173 days
28713,7b,5 to 10,7b: 5 to 10,Apr 23,Oct 18,177 days
28714,7a,0 to 5,7a: 0 to 5,May 2,Oct 13,163 days
28715,7a,0 to 5,7a: 0 to 5,Apr 26,Oct 17,173 days
28716,7a,0 to 5,7a: 0 to 5,May 7,Oct 10,155 days
28717,7a,0 to 5,7a: 0 to 5,May 2,Oct 11,161 days
28718,7b,5 to 10,7b: 5 to 10,Apr 17,Oct 28,193 days
28719,7a,0 to 5,7a: 0 to 5,Apr 23,Oct 15,174 days
28720,7b,5 to 10,7b: 5 to 10,Apr 11,Oct 24,195 days
28721,7a,0 to 5,7a: 0 to 5,May 7,Oct 10,155 days
28722,8a,10 to 15,8a: 10 to 15,Apr 1,Nov 5,217 days
28723,7a,0 to 5,7a: 0 to 5,Apr 26,Oct 16,172 days
28724,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28725,7b,5 to 10,7b: 5 to 10,Apr 26,Oct 16,172 days
28726,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28727,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28728,7b,5 to 10,7b: 5 to 10,Apr 17,Oct 19,184 days
28729,7b,5 to 10,7b: 5 to 10,Apr 26,Oct 17,173 days
28730,7a,0 to 5,7a: 0 to 5,Apr 30,Oct 19,171 days
28731,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28732,7b,5 to 10,7b: 5 to 10,Apr 17,Oct 22,187 days
28733,7b,5 to 10,7b: 5 to 10,Apr 24,Oct 21,179 days
28734,7b,5 to 10,7b: 5 to 10,Apr 24,Oct 17,175 days
28735,7a,0 to 5,7a: 0 to 5,Apr 30,Oct 19,171 days
28736,7a,0 to 5,7a: 0 to 5,Apr 26,Oct 16,172 days
28737,7b,5 to 10,7b: 5 to 10,Apr 11,Oct 27,198 days
28738,7a,0 to 5,7a: 0 to 5,May 7,Oct 10,155 days
28739,7b,5 to 10,7b: 5 to 10,Apr 20,Oct 19,181 days
28740,7a,0 to 5,7a: 0 to 5,May 2,Oct 13,163 days
28741,7a,0 to 5,7a: 0 to 5,May 6,Oct 10,156 days
28742,7a,0 to 5,7a: 0 to 5,Apr 24,Oct 17,175 days
28743,7a,0 to 5,7a: 0 to 5,Apr 18,Oct 23,187 days
28744,7b,5 to 10,7b: 5 to 10,Apr 24,Oct 17,175 days
